Team ID,Team Name,Map,Win Percentage,Total Matches,Total Lost,Rounds Won,Rounds Lost
7020,spirit,Nuke,100.0,5,0,71,51
7020,spirit,Mirage,16.666666666666664,6,5,50,73
7020,spirit,Dust2,80.0,5,1,58,49
7020,spirit,Ancient,66.66666666666666,6,2,69,44
7020,spirit,Anubis,100.0,4,0,52,31
7020,spirit,Vertigo,33.33333333333333,3,2,38,31
9565,vitality,Anubis,50.0,8,4,97,84
9565,vitality,Dust2,57.14285714285714,7,3,81,63
9565,vitality,Mirage,75.0,8,2,95,73
9565,vitality,Inferno,50.0,8,4,89,83
9565,vitality,Nuke,50.0,6,3,59,56
9565,vitality,Vertigo,100.0,3,0,42,28
4494,mouz,Ancient,60.0,5,2,56,50
4494,mouz,Nuke,70.0,10,3,114,87
4494,mouz,Inferno,40.0,5,3,46,59
4494,mouz,Vertigo,50.0,8,4,101,106
4494,mouz,Mirage,100.0,7,0,91,44
4494,mouz,Dust2,100.0,3,0,39,24
6667,faze,Mirage,66.66666666666666,9,3,107,87
6667,faze,Dust2,0.0,3,3,23,39
6667,faze,Inferno,85.71428571428571,7,1,84,63
6667,faze,Nuke,60.0,15,6,164,161
6667,faze,Anubis,0.0,3,3,31,39
6667,faze,Ancient,33.33333333333333,6,4,58,67
6667,faze,Vertigo,50.0,4,2,44,50
4608,natus-vincere,Nuke,12.5,8,7,64,102
4608,natus-vincere,Mirage,62.5,8,3,93,84
4608,natus-vincere,Dust2,66.66666666666666,3,1,35,27
4608,natus-vincere,Ancient,71.42857142857143,7,2,78,68
4608,natus-vincere,Anubis,66.66666666666666,3,1,38,31
4608,natus-vincere,Inferno,100.0,2,0,26,12
5995,g2,Mirage,0.0,1,1,5,13
5995,g2,Anubis,50.0,10,5,107,109
5995,g2,Inferno,77.77777777777779,9,2,116,97
5995,g2,Dust2,40.0,5,3,50,55
5995,g2,Ancient,62.5,8,3,86,78
5995,g2,Nuke,66.66666666666666,9,3,98,85
5995,g2,Vertigo,33.33333333333333,3,2,34,35
5378,virtuspro,Mirage,57.14285714285714,7,3,67,65
5378,virtuspro,Anubis,33.33333333333333,3,2,24,36
5378,virtuspro,Dust2,40.0,5,3,46,60
5378,virtuspro,Inferno,40.0,5,3,52,64
5378,virtuspro,Ancient,50.0,8,4,84,84
5378,virtuspro,Vertigo,44.44444444444444,9,5,99,105
6665,astralis,Dust2,0.0,2,2,19,26
6665,astralis,Inferno,40.0,5,3,49,56
6665,astralis,Nuke,57.14285714285714,7,3,80,63
6665,astralis,Ancient,66.66666666666666,6,2,85,72
6665,astralis,Mirage,66.66666666666666,3,1,33,28
6665,astralis,Vertigo,66.66666666666666,3,1,39,28
5005,complexity,Nuke,33.33333333333333,6,4,54,69
5005,complexity,Vertigo,100.0,6,0,84,59
5005,complexity,Anubis,100.0,4,0,55,39
5005,complexity,Ancient,20.0,5,4,44,61
5005,complexity,Inferno,50.0,2,1,22,18
5005,complexity,Dust2,0.0,1,1,6,13
7175,heroic,Mirage,25.0,4,3,38,48
7175,heroic,Ancient,44.44444444444444,9,5,90,90
7175,heroic,Nuke,55.55555555555556,9,4,106,90
7175,heroic,Dust2,25.0,4,3,37,49
7175,heroic,Vertigo,0.0,2,2,13,26
7175,heroic,Anubis,50.0,2,1,20,20
6248,the-mongolz,Mirage,42.857142857142854,7,4,70,71
6248,the-mongolz,Dust2,0.0,1,1,11,13
6248,the-mongolz,Nuke,66.66666666666666,6,2,67,52
6248,the-mongolz,Ancient,60.0,5,2,71,63
6248,the-mongolz,Inferno,0.0,1,1,8,13
6248,the-mongolz,Anubis,100.0,1,0,13,7
9996,9z,Anubis,66.66666666666666,3,1,41,40
9996,9z,Dust2,75.0,4,1,47,36
9996,9z,Ancient,0.0,1,1,10,13
9996,9z,Inferno,0.0,1,1,11,13
9996,9z,Nuke,100.0,2,0,29,22
11251,eternal-fire,Anubis,60.0,5,2,63,48
11251,eternal-fire,Inferno,25.0,4,3,37,48
11251,eternal-fire,Nuke,0.0,1,1,3,13
11251,eternal-fire,Vertigo,0.0,2,2,13,26
11251,eternal-fire,Mirage,0.0,3,3,34,42
5973,liquid,Nuke,16.666666666666664,6,5,67,80
5973,liquid,Inferno,20.0,5,4,50,61
5973,liquid,Dust2,66.66666666666666,3,1,37,30
5973,liquid,Anubis,60.0,5,2,63,59
5973,liquid,Ancient,100.0,4,0,52,35
5973,liquid,Mirage,40.0,5,3,49,56
4411,ninjas-in-pyjamas,Vertigo,100.0,2,0,26,16
4411,ninjas-in-pyjamas,Ancient,100.0,5,0,68,50
4411,ninjas-in-pyjamas,Nuke,33.33333333333333,3,2,25,33
4411,ninjas-in-pyjamas,Mirage,0.0,1,1,7,13
7532,big,Anubis,0.0,1,1,6,13
7532,big,Ancient,28.57142857142857,7,5,65,74
7532,big,Inferno,33.33333333333333,3,2,34,37
7532,big,Nuke,50.0,2,1,20,27
7532,big,Dust2,100.0,1,0,13,5
12394,betboom,Ancient,50.0,2,1,27,25
12394,betboom,Mirage,33.33333333333333,3,2,26,33
12394,betboom,Nuke,40.0,5,3,35,55
12394,betboom,Anubis,50.0,4,2,44,46
12394,betboom,Vertigo,33.33333333333333,3,2,35,40
12394,betboom,Dust2,0.0,1,1,11,13
8297,furia,Nuke,50.0,6,3,61,57
8297,furia,Ancient,33.33333333333333,3,2,23,32
8297,furia,Inferno,75.0,4,1,47,38
8297,furia,Mirage,33.33333333333333,3,2,29,34
8297,furia,Vertigo,0.0,2,2,21,29
11283,falcons,Nuke,50.0,6,3,61,57
11283,falcons,Vertigo,50.0,6,3,67,75
11283,falcons,Mirage,25.0,4,3,26,48
11283,falcons,Dust2,100.0,1,0,13,11
11283,falcons,Anubis,0.0,5,5,39,65
11283,falcons,Ancient,33.33333333333333,3,2,35,34
12774,flyquest,Nuke,0.0,3,3,36,45
12774,flyquest,Ancient,12.5,8,7,54,97
12774,flyquest,Anubis,100.0,2,0,29,23
12774,flyquest,Mirage,33.33333333333333,3,2,29,35
12774,flyquest,Vertigo,50.0,2,1,24,24
12774,flyquest,Inferno,0.0,1,1,14,16
